Certificate,Section,Module,Topic,Prompt,Answer,PromptType
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Computing,<p>Cloud Computing</p>,"<p>The delivery of computing services over the internet.<br/>This includes common infrastructure such as:</p><ul>    <li>virtual machines.</li>	<li>storage.</li> 	<li>databases. and </li>	<li>networking.</li></ul><p>And expansions on the traditional IT offering to things like:</p><ul>    <li>IoT.</li>	<li>ML. and</li> 	<li>Artifiical Intelligence.</li></ul>",Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Computing,<p>What is the main advantage of Cloud Computing?</p>,<p>It's main advantage is that it is not constrained by physical infrastructure.</p>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Computing,<p>Compute Power</p>,<p>How much processing your computer can do.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Computing,<p>Storage</p>,<p>The volume of data you can store on your device</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>In the shared responsibility model. what is the cloud consumer/customer ALWAYS responsible for?</p>,"	<ul>    <li>Information and Data: stored in the cloud.</li>    <li>Devices (Mobile and PCs): allowed to connect to the cloud.</li>    <li>Accounts and Identities: of people services and devices within your organisation.</li></ul>",Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>In the shared responsibility model. what is the cloud provider ALWAYS responsible for?</p>,<ul>    <li>The physical datacenter.</li>    <li>The physical network.</li>    <li>The physical hosts.</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>Who's responsible for <b>Information and Data</b> in the shared responsibility model when using each of the following:</p><ul>    <li>SaaS</li>    <li>PaaS</li>    <li>IaaS</li>    <li>On-premises</li></ul>,<ul>    <li>SaaS: Cloud Consumer</li>    <li>PaaS: Cloud Consumer</li>    <li>IaaS: Cloud Consumer</li>    <li>On-premises: Cloud Consumer</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>Who's responsible for <b>Devices (Mobiles. PCs. etc)</b> in the shared responsibility model when using each of the following:</p><ul>    <li>SaaS</li>    <li>PaaS</li>    <li>IaaS</li>    <li>On-premises</li></ul>,<ul>    <li>SaaS: Cloud Consumer</li>    <li>PaaS: Cloud Consumer</li>    <li>IaaS: Cloud Consumer</li>    <li>On-premises: Cloud Consumer</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>Who's responsible for <b>Accounts and Identities</b> in the shared responsibility model when using each of the following:</p><ul>    <li>SaaS</li>    <li>PaaS</li>    <li>IaaS</li>    <li>On-premises</li></ul>,<ul>    <li>SaaS: Cloud Consumer</li>    <li>PaaS: Cloud Consumer</li>    <li>IaaS: Cloud Consumer</li>    <li>On-premises: Cloud Consumer</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>Who's responsible for <b>Identity and Directory Infrastructure</b> in the shared responsibility model when using each of the following:</p><ul>    <li>SaaS</li>    <li>PaaS</li>    <li>IaaS</li>    <li>On-premises</li></ul>,<ul>    <li>SaaS: Shared Responsibility</li>    <li>PaaS: Shared Responsibility</li>    <li>IaaS: Cloud Consumer</li>    <li>On-premises: Cloud Consumer</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>Who's responsible for <b>Applications</b> in the shared responsibility model when using each of the following:</p><ul>    <li>SaaS</li>    <li>PaaS</li>    <li>IaaS</li>    <li>On-premises</li></ul>,<ul>    <li>SaaS: Cloud Provider</li>    <li>PaaS: Shared Responsibility</li>    <li>IaaS: Cloud Consumer</li>    <li>On-premises: Cloud Consumer</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>Who's responsible for <b>Network Controls</b> in the shared responsibility model when using each of the following:</p><ul>    <li>SaaS</li>    <li>PaaS</li>    <li>IaaS</li>    <li>On-premises</li></ul>,<ul>    <li>SaaS: Cloud Provider</li>    <li>PaaS: Shared Responsibility</li>    <li>IaaS: Cloud Consumer</li>    <li>On-premises: Cloud Consumer</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>Who's responsible for <b>Operating System</b> in the shared responsibility model when using each of the following:</p><ul>    <li>SaaS</li>    <li>PaaS</li>    <li>IaaS</li>    <li>On-premises</li></ul>,<ul>    <li>SaaS: Cloud Provider</li>    <li>PaaS: Cloud Provider</li>    <li>IaaS: Cloud Consumer</li>    <li>On-premises: Cloud Consumer</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>Who's responsible for <b>Physical Hosts</b> in the shared responsibility model when using each of the following:</p><ul>    <li>SaaS</li>    <li>PaaS</li>    <li>IaaS</li>    <li>On-premises</li></ul>,<ul>    <li>SaaS: Cloud Provider</li>    <li>PaaS: Cloud Provider</li>    <li>IaaS: Cloud Provider</li>    <li>On-premises: Cloud Consumer</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>Who's responsible for <b>Physical Network</b> in the shared responsibility model when using each of the following:</p><ul>    <li>SaaS</li>    <li>PaaS</li>    <li>IaaS</li>    <li>On-premises</li></ul>,<ul>    <li>SaaS: Cloud Provider</li>    <li>PaaS: Cloud Provider</li>    <li>IaaS: Cloud Provider</li>    <li>On-premises: Cloud Consumer</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,The Shared Responsibility Model,<p>Who's responsible for <b>Physical Datacenter</b> in the shared responsibility model when using each of the following:</p><ul>    <li>SaaS</li>    <li>PaaS</li>    <li>IaaS</li>    <li>On-premises</li></ul>,<ul>    <li>SaaS: Cloud Provider</li>    <li>PaaS: Cloud Provider</li>    <li>IaaS: Cloud Provider</li>    <li>On-premises: Cloud Consumer</li></ul>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Models,<p>Private Cloud</p>,<p>A cloud built. controlled. and maintained by a single entity.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Models,<p>Advantages of Private Cloud</p>,<ul>    <li>Complete control over resources and security.</li>    <li>Data is not colocated with other organisations data</li></ul>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Models,<p>Disadvantages of Private Cloud</p>,<ul>    <li>Upfront CapEx cost: hardware must be purchased for startup and maintenance.</li>    <li>Lacks the benefits of public cloud.</li></ul>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Models,<p>Public Cloud</p>,<p>Is built. controlled. and maintained by a third-party cloud provider. Anyone that wants to purchase cloud services can access and use resources. This availability is a key difference between other cloud models.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Models,<p>Advantages of Public Cloud</p>,<ul>    <li>No capital expenditures to scale up.</li>    <li>Applications can be quickly provisioned and deprovisioned.</li>    <li>Organizations pay only for what they use.</li></ul>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Models,<p>Disadvantages of Public Cloud</p>,<ul>    <li>Organizations don't have complete control over resources and security.</li></ul>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Models,<p>Hybrid Cloud</p>,<p>Uses both public and private cloud in an inter-connected environment.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Models,<p>Some use cases for Hybrid Cloud</p>,<ul>    <li>Can be used to allow a private cloud to surge for increase. temporary demand by deploying public cloud resources.</li>    <li>Can be used to provide an extra layer of security.<br/>For example. users can flexibly choose which services to keep in public cloud and which to deploy to their private cloud infrastructure.</li></ul>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Models,<p>Advantages of Hybrid Cloud</p>,<ul>    <li>Provides the most flexibility.</li>    <li>Organisations can determine where to run their applications.</li>    <li>.</li></ul>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Models,<p>Disadvantages of Hybrid Cloud</p>,<ul>    <li>Complexity of Management & Implementation</li></ul>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Define Cloud Models,<p>Multi-cloud</p>,<p>Uses features from many cloud providers. you deal with two (or more) public cloud providers and manage resources and security in both environments.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Describe the Consumption-based Model,<p>Capital Expenditure (CapEx)</p>,<p>Typically a one-time. up-front expenditure to purchase or secure tangible resources.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Describe the Consumption-based Model,<p>Operational Expenditure (OpEx)</p>,<p>Typically spending money on services or products over time.</p>,Define
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Describe the Consumption-based Model,<p>What are the two types of expenses to consider when comparing IT infrastructure models?</p>,<p>Capital Expenditure and Operational Expenditure</p>,Question
AZ-900: Microsoft Azure Fundamentals,Describe Cloud Concepts,Describe Cloud Computing,Describe the Consumption-based Model,<p>Benefits of the Consumption Based Model</p>,<ul>    <li>No upfront costs.</li>    <li>No need to purchase and manage costly infrastructure that users might not use to its fullest potential.</li>    <li>The ability to pay for more resources when they're needed.</li>    <li>The ability to stop paying for resources that are no longer needed.</li></ul>,Question
